id,Anger,Offensive,Hate,lockdown_status,state
1244771970329260037,0,0,0,0,alabama
1244446005719941121,0,0,0,0,alabama
1244332927376412673,0,0,0,0,alabama
1244315870278627328,0,0,0,0,alabama
1243948970449264640,0,0,0,0,alabama
1243093217014317056,0,0,0,0,alabama
1242930896262565892,0,0,0,0,alabama
1241829041637863425,0,0,0,0,alabama
1241670385151737858,0,0,0,0,alabama
1241403910490898432,0,0,0,0,alabama
1239465062198370306,0,0,0,0,alabama
1239299501329874945,0,0,0,0,alabama
1239283063672262658,0,0,0,0,alabama
1239279036683124736,0,0,0,0,alabama
1237781426415820811,0,0,0,0,alabama
1236722053937496065,0,0,0,0,alabama
1236701557510615041,0,0,0,0,alabama
1234892498385850368,0,0,0,0,alabama
1234153146626314241,0,0,0,0,alabama
1233206160590811137,0,0,0,0,alabama
1230643541845716992,0,0,0,0,alabama
1229420811594977280,0,0,0,0,alabama
1229397502107013120,0,0,0,0,alabama
1229235464806240256,0,0,0,0,alabama
1229208429824290817,0,0,0,0,alabama
1229207103237169152,0,0,0,0,alabama
1228756829141962754,0,0,0,0,alabama
1227344202159345668,0,0,0,0,alabama
1225857020785459201,1,0,0,0,alabama
1221493513872953344,0,0,0,0,alabama
1221202951961825281,0,0,0,0,alabama
1221186012887625729,0,0,0,0,alabama
1220029149634580481,0,0,0,0,alabama
1219090110127525888,0,0,0,0,alabama
1218642031469383680,0,0,0,0,alabama
1218608590543441921,0,0,0,0,alabama
1218178794118402053,0,0,0,0,alabama
1217254811504201728,0,0,0,0,alabama
1216387472822800385,0,0,0,0,alabama
1216193299947671553,0,0,0,0,alabama
1216129302963593218,0,0,0,0,alabama
1216087180906500098,0,0,0,0,alabama
1215055806577684480,0,0,0,0,alabama
1214485207035842561,0,0,0,0,alabama
1212828206119735297,0,0,0,0,alabama
1212460084585996288,0,0,0,0,alabama
1212454591817801728,0,0,0,0,alabama
1212409229694423046,0,0,0,0,alabama
1212168779305762819,0,0,0,0,alabama
1212159890690596869,0,0,0,0,alabama
1212095453766045696,0,0,0,0,alabama
1212087050234716160,1,0,0,0,alabama
1242242944205193216,0,0,0,0,alabama
1242229560797691904,0,0,0,0,alabama
1239991120119181315,0,0,0,0,alabama
1244762657321713664,1,0,0,0,alabama
1240737224498524160,0,0,0,0,alabama
1239626082720022530,1,0,0,0,alabama
1239625828662730752,1,1,1,0,alabama
1238886859662675968,0,0,0,0,alabama
1238722175403806720,1,0,0,0,alabama
1238721164551356416,1,0,0,0,alabama
1238720777693913088,1,0,0,0,alabama
1238232307896631308,1,0,0,0,alabama
1237600353543000065,1,0,0,0,alabama
1237360681709699073,0,0,0,0,alabama
1237236064055631872,1,0,0,0,alabama
1236710546998730752,0,0,0,0,alabama
1236650917061156866,0,0,0,0,alabama
1236608713416474624,0,0,0,0,alabama
1236608143163117570,0,0,0,0,alabama
1236607805857189891,0,0,0,0,alabama
1236511672862474241,0,0,0,0,alabama
1235647759044108289,0,0,0,0,alabama
1235647298689855491,0,0,0,0,alabama
1235645123997786112,0,0,0,0,alabama
1235644761718964225,0,0,0,0,alabama
1235642854963326977,0,0,0,0,alabama
1235642282952364032,0,0,0,0,alabama
1235640378583330816,0,0,0,0,alabama
1235639760640782337,0,0,0,0,alabama
1235636529747329025,0,0,0,0,alabama
1235636019648700417,0,0,0,0,alabama
1235633815407800321,0,0,0,0,alabama
1235633403774582785,0,0,0,0,alabama
1234944984983277570,0,0,0,0,alabama
1234477473473191937,0,0,0,0,alabama
1234475789334106112,0,0,0,0,alabama
1234467234271125513,0,0,0,0,alabama
1233477074725343232,0,0,0,0,alabama
